abandon, [əˋbændən] vt.放棄，中止
calculation, [͵kælkjəˋleʃən] n.計算[U]
calculator, [ˋkælkjə͵letɚ] n.計算者(機)
calorie, [ˋkælərɪ] n.卡，卡路里
autobiography, [͵ɔtəbaɪˋɑgrəfɪ] n.自傳
campaign, [kæmˋpen] n.戰役；運動，活動[(+for/against)；競選活動
await, [əˋwe] vt.等候，期待
awkward, [ˋɔkwɚd] a.笨拙的 [(+with)]；尷尬的
candidate, [ˋkændədet] n.候選人；候補者；應徵者
backpack, [ˋbæk͵pæk] n.登山、遠足用的背包
bald, [bɔld] a.禿頭的；無草木的
capacity, [kəˋpæsətɪ] n.容量，容積；能力，才能
ballet, [ˋbæle] n.芭蕾舞[C][U]
bankrupt, [ˋbæŋkrʌpt] a.破產的 vt.使破產 n.破產者
cape, [kep] n.披肩；斗篷；岬，海角
capital, [ˋkæpət!] n.首都；大寫字母；資本 a.首要的；大寫字母的；資本的；死刑的
bargain, [ˋbɑrgɪn] vt.討價還價 n.買賣，交易；特價商品
capitalism, [ˋkæpət!͵ɪzəm] n.資本主義(制度)[U]
clash, [klæ ʃ] n.vi.vt.砰地相碰撞；衝突
classification, [͵klæsəfəˋkeʃən] n.分類；分級
capitalist, [ˋkæpət!ɪst] n.資本家；資本主義者
classify, [ˋklæsə͵faɪ] vt.將…分類；將…分等級
career, [kəˋrɪr] n.(終身的)職業[C]；生涯；歷程[C]
cliff, [klɪf] n.(尤指海邊的)懸崖，峭壁
cargo, [ˋkɑrgo] n.(船、飛機、車輛裝載的)貨物
climax, [ˋklaɪmæ ks] n.頂點，高潮
clumsy, [ˋklʌmzɪ] a.笨拙的，手腳不靈活的
carrier, [ˋkærɪɚ] n.運送人；送信人；航空母艦
coarse, [kors] a.粗糙的；粗劣的
code, [kod] n.法典，法規；規則；代碼；密碼
carve, [kɑrv] vi.刻，雕刻
catalogue, [ˋkætəlɔg] n.(圖書，商品的)目錄
collapse, [kəˋlæps] vi.vt.n.倒塌
combination, [͵kɑmbəˋneʃən] n.結合(體)；密碼鎖
compact disk, [kəmˋpækt dɪsk] n.光碟
compact, a.緊密的，結實的
comedy, [ˋkɑmədɪ] n.喜劇
cease, [sis] n.vt.vi.停止，終止
comic1, [ˋkɑmɪk] a.喜劇的 n.喜劇演員
celebration, [͵sɛləˋbreʃən] n.慶祝[U]；慶祝活動
comic(s), [ˋkɑmɪk]a.連環漫畫的 n.連環漫畫
cement, [sɪˋmɛnt] n.水泥[U]
commander, [kəˋmændɚ] n.指揮官，司令官
chamber, [ˋtʃembɚ] n.房間；寢室
comment, [ˋkɑmɛnt] n.vi.註釋，評註；批評，評論
championship, [ˋtʃæ mpɪən͵ʃɪp] n.冠軍的地位 錦標賽
commerce, [ˋkɑmɝs] n.商業，貿易 [U]
commit, [kəˋmɪt] vt.犯(罪)，做(錯事等)
characteristic, [͵kærəktəˋrɪstɪk] n.特性，特徵 a.特有的，獨特的
communication, [kə͵mjunəˋkeʃən] n.溝通；傳達；交流；通訊(交通)設施
charity, [ˋtʃæ rətɪ] n.慈悲；慈善[U]；慈善團體
community, [kəˋmjunətɪ] n.社區[C]；(一般)社會，公眾
chemistry, [ˋkɛmɪstrɪ] n.化學；男女間的來電
cherish, [ˋtʃɛrɪʃ] vt.珍愛；珍惜
companion, [kəmˋpænjən] n.同伴，伴侶
chirp, [tʃɝp] vi.n.(小鳥)發啁啾聲；(昆蟲)發唧唧聲
competition, [͵kɑmpəˋtɪʃən] n.競爭，比賽，競賽
chore, [tʃor] n.家庭雜務；日常零星活兒
competitive, [kəmˋpɛtətɪv] a.競爭的；競爭激烈的
chorus, [ˋkorəs] n.合唱隊[C]；合唱[C]；副歌 vt.vi.合唱
competitor, [kəmˋpɛtətɚ] n.競爭者；對手
complicate, [ˋkɑmplə͵ket] vt.使複雜化
cigar, [sɪˋgɑr] n.雪茄
compose, [kəmˋpoz] vt.作(詩，曲等)；組成
cinema, [ˋsɪnəmə] n.【英】電影院[C](一部)電影[C]；(總稱)電影；電影業
composer, [kəmˋpozɚ] n.作曲者，作曲家
composition, [͵kɑmpəˋzɪʃən] n.寫作；作曲；作品；作文；(大型)樂曲
circular, [ˋsɝkjəlɚ] a.圓形的；環形的
circulate, [ˋsɝkjə͵let] vt.vi.循環；流通；發行
circulation, [͵sɝkjəˋleʃən] n.循環；(貨幣、消息等的)流通；(報刊等的)發行量
concentrate, [ˋkɑnsɛn͵tret] vt.集中；聚集；濃縮 vi.集中；專注
circumstance, [ˋsɝkəm͵stæns] n.情況，環境
concentration, [͵kɑnsɛnˋtreʃən] n.集中；專心；濃縮
civilian, [sɪˋvɪljən] n.(與軍、警相對的)平民，百姓
concept, [ˋkɑnsɛpt] n.概念，觀念
civilization, [͵sɪv!əˋzeʃən] n.教化(過程)[U]；文明；文明世界
concerning, [kənˋsɝnɪŋ] prep.關於…
concrete, [ˋkɑnkrit] a.有形的；具體的 n.混凝土
clarify, [ˋklærə͵faɪ] vt.vi.澄清；闡明
conductor, [kənˋdʌktɚ] n.管理人；指揮；車掌；避雷針
continual, [kənˋtɪnjʊəl] a.不間斷的，連續的
continuous, [kənˋtɪnjʊəs] a.連續的，不斷的
contrary, [ˋkɑntrɛrɪ] n.相反；相反的事物 a.相反的，對立的[(+to)]
conference, [ˋkɑnfərəns] n.(正式)會議；(學校，教會，體育隊等的)聯盟
contrast, [ˋkɑn͵træst] n.對比，對照[U] 
contrast, [kənˋtræst] vt.使對比，使對照
confess, [kənˋfɛs] vt.坦白，承認[+v-ing][+(that)
contribute, [kənˋtrɪbjut] vt.vi.捐(款)；捐獻；投(稿)
confidence, [ˋkɑnfədəns] n.自信，信心[U]
contribution, [͵kɑntrəˋbjuʃən] n.貢獻；投稿
confine, [kənˋfaɪn] vt.限制；使局限[(+to)]
convenience, [kənˋvinjəns] n.方便[U]；便利設施
confusion, [kənˋfjuʒən] n.混亂；慌亂；困惑
congratulate, [kənˋgrætʃə͵let] vt.祝賀；恭禧
convention, [kənˋvɛnʃən] n.大會；全體與會者；慣例，習俗
congress, [ˋkɑŋgrəs] n.(正式)會議；代表大會(C-)美國國會
conventional, [kənˋvɛnʃən!] a.會議的；慣例的
conjunction, [kənˋdʒʌŋkʃən] n.【文】連接詞；結合
converse, [kənˋvɝs] vi.【書】交談
convey, [kənˋve] vt.運送；傳遞[(+from/to)]
conquer, [ˋkɑŋkɚ] vt.征服；攻克，攻取
convince, [kənˋvɪns] vt.使信服；說服[(+of)]
conscience, [ˋkɑnʃəns] n.良心；道義心
cooperate, [koˋɑpə͵ret] vt.合作，協作[(+with/in)]
consequence, [ˋkɑnsə͵kwɛns] n.結果，後果
cooperation, [ko͵ɑpəˋreʃən] n.合作，協力；合作社[C]
consequent, [ˋkɑnsə͵kwɛnt] a.隨之發生的
conservative, [kənˋsɝvətɪv] a.保守的，守舊的 n.保守者；防腐劑
cooperative, [koˋɑpə͵retɪv] a.合作的；合作社的
consist, [kənˋsɪst] vi.由..組成[(+of)]；在於…[(+in)]
cope, [kop] vi.對付，妥善處理[(+with)]
consistent, [kənˋsɪstənt] a.始終如一的，前後一致的
copper, [ˋkɑpɚ] n.銅[U]
cord, [kɔrd] n.細繩，粗線；【解】腱，韌帶
consonant, [ˋkɑnsənənt] n.【語】子音；子音；字母[C]
cork, [kɔrk] n.軟木[U]；軟木塞[C]
correspond, [͵kɔrɪˋspɑnd] vi.符合，一致；通信
constitute, [ˋkɑnstə͵tjut] vt.構成，組成
constitution, [͵kɑnstəˋtjuʃən] n.憲法；章程[C]體質，體格
costume, [ˋkɑstjum] n.戲裝[U][C]
cottage, [ˋkɑtɪdʒ] n.農舍，小屋
construct, [kənˋstrʌkt] vt.建造，構成
council, [ˋkaʊns!] n.會議；地方議會[C]
construction, [kənˋstrʌkʃən] n.建造，建設
counter, [ˋkaʊntɚ] n.計算者；櫃臺
constructive, [kənˋstrʌktɪv] a.建設性的；結構上的
counter, [ˋkaʊntɚ] a.n.相反(的)；反對(的)
courageous, [kəˋredʒəs] a.英勇的，勇敢的
consult, [kənˋsʌlt] vt.與…商量；請教；查閱(詞典，參考書等)
courteous, [ˋkɝtjəs] a.殷勤的，謙恭的
courtesy, [ˋkɝtəsɪ] n.禮貌；殷勤，好意
consultant, [kənˋsʌltənt] n.顧問
crack, [kræ k] vi.vt.(使)爆裂，(使)破裂 n.裂縫
consume, [kənˋsjum] vt.消耗，花費
consumer, [kənˋsjumɚ] n.消費者；消耗者
craft, [kræ ft] n.工藝，手藝；船；飛機；
container, [kənˋtenɚ] n.容器(如箱、盒、罐等)
cram, [kræ m] vt.把…塞進[(+into)]；把…塞滿 【口】死記硬背；填鴨式地教
content, [kənˋtɛnt] a.滿足的，滿意的 vt.滿足 n.滿足
content(s), [ˋkɑntɛnt] n.含量；內容
contentment, [kənˋtɛntmənt] a.滿足，知足；滿意[U]
creation, [krɪˋeʃən] n.創造；創作[U]；創作品
contest, [ˋkɑntɛst] n.爭奪，競爭，比賽
creativity, [krɪeˋtɪvətɪ] n.創造力
contest, [kənˋtɛst] vt.vi.爭奪；與…競賽
cripple, [ˋkrɪp!] n.跛子；殘廢的人 vt.使…殘廢
context, [ˋkɑntɛkst] n.【語】上下文
critic, [ˋkrɪtɪk] n.批評家，評論家
demonstration, [͵dɛmənˋstreʃən] n.(用實驗，實例等)證明；示範；示威
critical, [ˋkrɪtɪk!] a.緊要的，關鍵危急的；批評的；愛挑剔的
criticism, [ˋkrɪtɪ͵sizəm] n.批評；評論
criticize, [ˋkrɪtɪ͵saɪz] vt.vi.批評；批判
dense, [dɛns] a.密集的，稠密的
cruelty, [ˋkruəltɪ] n.殘酷，殘忍[U]
depart, [dɪˋpɑrt] vi.【書】起程，出發；離開
crush, [krʌʃ] n.vt.vi.壓碎，壓壞；碾碎 n.迷戀
departure, [dɪˋpɑrtʃɚ] n.離開；出發，起程
cube, [kjub] n.立方體；方塊；三次方
dependable, [dɪˋpɛndəb!] a.可靠的；可信任的
cucumber, [ˋkjukəmbɚ] n.黃瓜，胡瓜[C]
dependent, [dɪˋpɛndənt] a.依靠(賴)的；取決於…的
cue, [kju] n.【戲】提示；信號 vt.給…暗示
cunning, [ˋkʌnɪŋ] a.狡猾的，奸詐的
depress, [dɪˋprɛs] vt.使…沮喪，使…消沉；使…蕭條
curiosity, [͵kjʊrɪˋɑsətɪ] n.好奇心[U]
curl, [kɝl] n.卷毛，卷髮[C] vt.vi.捲曲
depression, [dɪˋprɛʃən] n.沮喪，消沉；不景氣，蕭條
curse, [kɝs] n.vt.vi.詛咒，咒罵
curve, [kɝv] n.曲線，弧線；【棒】曲球 vi.彎曲
deserve, [dɪˋzɝv] vt.應受，該得 [+to-v]
desperate, [ˋdɛspərɪt] a.情急拼命的；極度渴望的
cushion, [ˋkʊʃən] n.坐墊；靠墊；避震器
damn, [dæ m] vt.罵…該死，咒罵 int.該死
despite, [dɪˋspaɪt] n.惡意；怨恨 prep.不管，儘管
damp, [dæ mp] a.有濕氣的；潮濕的 vt.vi.使潮濕
destruction, [dɪˋstrʌkʃən] n.破壞；毀滅
deadline, [ˋdɛd͵laɪn] n.截止期限，最後限期
detective, [dɪˋtɛktɪv] n.偵探；私家偵探 a.偵探的
declare, [dɪˋklɛr] vt.宣布，宣告；聲明申報(納稅品等)
determination, [dɪ͵tɝməˋneʃən] n.堅定；果斷；決心
decoration, [͵dɛkəˋreʃən] n.裝飾[U]；裝飾品
device, [dɪˋvaɪs] n.設備，儀器，裝置
devise, [dɪˋvaɪz] vt.設計；發明；策劃
decrease, [ˋdikris] n.減；減少，減小
decrease, [dɪˋkris] vt.vi.減；減少，減小
devote, [dɪˋvot] vt.將…奉獻(給)[(+to)]
diaper, [ˋdaɪəpɚ] n.【美】尿布[C]
defeat, [dɪˋfit] vt.n.戰勝，擊敗；失敗，挫敗
differ, [ˋdɪfɚ] vi.不同，相異[(+from)]
defend, [dɪˋfɛnd] vt.防禦;保衛；為…辯護；【體】防守
digest, [daɪˋdʒɛst] vt.消化(食物)；領悟，融會貫通
defense, [dɪˋfɛns] n.防禦，保衛；辯護；【體】防守
digest, [ˋdaɪdʒɛst] n.摘要；文摘[C]
digestion, [dəˋdʒɛstʃən] n.消化；(知識等的)領悟[U]
defensible, [dɪˋfɛnsəb!] a.可防禦的；可辯護的
digital, [ˋdɪdʒɪt!] a.數位的；數字的 n.數字顯示式電子表(或鐘)
defensive, [dɪˋfɛnsɪv] a.防禦的；保護的；保衛的
dignity, [ˋdɪgnətɪ] n.尊嚴；莊嚴[U]
definite, [ˋdɛfənɪt] a.明確的，確切的
diligence, [ˋdɪlədʒəns] n.勤勉，勤奮
delicate, [ˋdɛləkət] a.易碎的；嬌貴的；精美的
diploma, [dɪˋplomə] n.畢業文憑，學位證書
diplomat, [ˋdɪpləmæ t] n.外交官
delight, [dɪˋlaɪt] n.欣喜 [U]；樂事 [C] vt.使…高興
disadvantage, [͵dɪsədˋvæntɪdʒ] n.不利；損害
disaster, [dɪˋzæstɚ] n.災害，災難，不幸[C][U]
delightful, [dɪˋlaɪtfəl] a.令人愉快的，令人高興的
discipline, [ˋdɪsəplɪn] n.紀律，風紀；教養[U] vt.訓練，訓導
demand, [dɪˋmænd] n.vt.要求，請求[C][(+for)]
disconnect, [͵dɪskəˋnɛkt] vt.使分離，分開
discourage, [dɪsˋkɝɪdʒ] vt.使洩氣；勸阻
demonstrate, [ˋdɛmən͵stret] vt.(用實驗、實例等)證明；示範 vi.示威
discouragement, [dɪsˋkɝɪdʒmənt] n.沮喪，氣餒[U]；使人洩氣的事物[C]
disguise, [dɪsˋgaɪz] n.vt.假扮，偽裝
electrician, [͵ilɛkˋtrɪʃən] n.電工
disgust, [dɪsˋgʌst] n.作嘔；厭惡 vt.使作嘔
electronics, [ɪlɛkˋtrɑnɪks] n.電子學
dismiss, [dɪsˋmɪs] vt.讓…離開；解散；不考慮
elegant, [ˋɛləgənt] a.雅緻的，優美的
elementary, [͵ɛləˋmɛntərɪ] a.基本的；初級的，基礎的
disorder, [dɪsˋɔrdɚ] n.混亂，無秩序[U]
dispute, [dɪˋspjut] n.vt.vi.爭論；爭執
eliminate, [ɪˋlɪmə͵net] vt.排除]；(比賽中)淘汰
distinct, [dɪˋstɪŋkt] a. 與其他不同的，有區別的
elsewhere, [ˋɛls͵hwɛr] adv.在別處；往別處
electronic mail, [ˋiˋmel] n.【電腦】電子郵件
distinguish, [dɪˋstɪŋgwɪʃ] vt.vi.區別；識別
distinguished, [dɪˋstɪŋgwɪʃt] a.卓越的；著名的
embarrass, [ɪmˋbærəs] vt.使窘；使不好意思
distribute, [dɪˋstrɪbjʊt] vt.分發；分配
embarrassment, [ɪmˋbærəsmənt] n.窘；難堪 使人為難的人(或事物)[C]
distribution, [͵dɪstrəˋbjuʃən] n.分發；配給物
district, [ˋdɪstrɪkt] n.區，行政區；地區，區域
disturb, [dɪsˋtɝb] vt.vi.妨礙，打擾
divine, [dəˋvaɪn] a.神的，神性的
embassy, [ˋɛmbəsɪ] n.(常大寫)大使館[C]
divorce, [dəˋvors] n.vt.vi.離婚
emerge, [ɪˋmɝdʒ] vi.浮現；出現[(+from/out of)]
dominant, [ˋdɑmənənt] a.佔優勢的，支配的
dominate, [ˋdɑmə͵net] vt.vi.支配，統治，控制
emotional, [ɪˋmoʃən!] a.感情(上)的；易動情的
dormitory, [ˋdɔrmə͵torɪ] n.學生宿舍(dorm)
emphasis, [ˋɛmfəsɪs] n.強調，重視，重點
download, [ˋdaʊn͵lod] vt.下載
empire, [ˋɛmpaɪr] n.帝國[C]；大企業[C]
doze, [doz] vi.n.打瞌睡，打盹
enclose, [ɪnˋkloz] vt.圍住；圈起
draft, [dræ ft] n.草稿[C]；【美】徵兵[U] vt.起草；徵兵
encounter, [ɪnˋkaʊntɚ] n.vt.遭遇(敵人)；遇到(困難，危險等)；意外地遇見(朋友等)
dread, [drɛd] vt.vi.懼怕；擔心[+to-v][+v-ing][+(that)] n.懼怕；擔心
endanger, [ɪnˋdendʒɚ] vt.危及；使遭到危險
endure, [ɪnˋdjʊr] vt.忍耐，忍受；容忍
enforce, [ɪnˋfors] vt.實施，執行
drift, [drɪft] vi.vt.n.漂，漂流
enforcement, [ɪnˋforsmənt] n.實施，執行；強制
drill, [drɪl] vt.vi.鑽(孔)；在…上鑽孔；操練；訓練n.鑽，鑽頭；鑽床[C]；操練；訓練
engineering, [͵ɛndʒəˋnɪrɪŋ] n.工程；工程學[U]
enlarge, [ɪnˋlɑrdʒ] vt.放大；擴大；擴展
enlargement, [ɪnˋlɑrdʒmənt] n.放大；擴大；擴展
durable, [ˋdjʊrəb!] a.經久的，耐用的
dusty, [ˋdʌstɪ] a.滿是灰塵的，灰塵覆蓋的
enormous, [ɪˋnɔrməs] a.巨大的，龐大的
digital video disk, n.DVD 碟片
entertain, [͵ɛntɚˋten] vt.娛樂；招待，款待
dye, [daɪ] n.染料，染色[C][U] vt.vi.染(色)
entertainment, [͵ɛntɚˋtenmənt] n.娛樂；餘興；演藝
dynamic, [daɪˋnæmɪk] a.力學的；有活力的
dynasty, [ˋdaɪnəstɪ] n.王朝；朝代[C]
enthusiasm, [ɪnˋθjuzɪ͵æ zəm] n.熱情，熱忱
earnest, [ˋɝnɪst] a.認真的；誠摯的 n.認真，誠摯[U]
envious, [ˋɛnvɪəs] a.嫉妒的；羨慕的[(+of)]
equality, [iˋkwɑlətɪ] n.相等；平等；【數】等式
earphone, [ˋɪr͵fon] n.耳機；聽筒
economic, [͵ikəˋnɑmɪk] a.經濟上的；合算的 equip [ɪˋkwɪp] vt.裝備，配備[(+for/with)]
economical, [͵ikəˋnɑmɪk!] a.經濟的，節約的
equipment, [ɪˋkwɪpmənt] n.配備，裝備；設備；器械
economics, [͵ikəˋnɑmɪks] n.經濟學
economist, [iˋkɑnəmɪst] n.經濟學者；節儉的人
era, [ˋɪrə] n.時代；年代
errand, [ˋɛrənd] n.差事，差使
economy, [ɪˋkɑnəmɪ] n. 經濟(情況)；節約；經濟艙
escalator, [ˋɛskə͵letɚ] n.電扶梯
essay, [ˋɛse] n.論說文；散文
efficiency, [ɪˋfɪʃənsɪ] n.效率；效能
essential, [ɪˋsɛnʃəl] a.必要的，不可缺的[(+to/for)]；本質的，基本的
elastic, [ɪˋlæstɪk] a.有彈性的，有彈力的n.橡皮帶，鬆緊帶
establish, [əˋstæblɪʃ] vt.建立，設立；確定，證實
farewell, [ˋfɛrˋwɛl] int.再會！別了! n.告別 a.告別的
establishment, [ɪsˋtæblɪʃmənt] n.建立，建立的機構，公司[C]
fatal, [ˋfet!] a.命運的；致命的，生死攸關的
favorable, [ˋfevərəb!] a.贊同的；有利的，適合的
estimate, [ˋɛstə͵met] vt.vi.n.估計，估量
evaluate, [ɪˋvæljʊ͵et] vt.估…的價；對…評價
feast, [fist] n.盛宴，筵席
evaluation, [ɪ͵væ ljʊˋeʃən] n.估價，評價；估算
ferry, [ˋfɛrɪ] n.渡輪
fertile, [ˋfɝt!] a.(動植物)多產的；(土地)肥沃的
eve, [iv] n.(通常大寫)(節日等的)前夜，前夕
eventual, [ɪˋvɛntʃʊəl] a.最終發生的；最後的
fetch, [fɛtʃ] vt.去拿…；(去)拿來
evidence, [ˋɛvədəns] n.證據；證詞；證人；物證
fiction, [ˋfɪkʃən] n.(總稱)小說[U]；虛構，想像[U]
evident, [ˋɛvədənt] a.明顯的；明白的
fierce, [fɪrs] a. 兇猛的；殘酷的；猛烈的，激烈的
exaggerate, [ɪgˋzædʒə͵ret] vt.vi.誇張，誇大
examinee, [ɪg͵zæməˋni] n.應試者；受檢查者
finance, [faɪˋnæns] n.財政；金融；財政學[U]
examiner, [ɪgˋzæmɪnɚ] n.主考人；檢查人；審查員
financial, [faɪˋnænʃəl] a.財政的；金融的；金融界的
exception, [ɪkˋsɛpʃən] n.例外[C]；除外，除去
firecracker, [ˋfaɪr͵krækɚ] n.爆竹，鞭炮[C]
exhaust, [ɪgˋzɔst] vt.用完，耗盡；使精疲力盡 n.排出；排氣(水)；排出的氣[U]
fireplace, [ˋfaɪr͵ples] n.壁爐[C]
flatter, [ˋflætɚ] vt.諂媚；奉承
exhibit, [ɪgˋzɪbɪt] n.vt.展示，陳列；(在法庭)提出(證據) n.展示品；
flee, [fli] vi.vt.逃，逃走
flexible, [ˋflɛksəb!] a.可彎曲的；有彈性的；可變通的
